"Month","Division","Car Class","Total Miles","Number of Failures","Number of Cars","MDBF","12-Month Average MDBF"
"2026-06-01","A","R142","4,645,872","41","1,025","113314.0","127,544"
"2026-06-01","A","R142A","972,975","6","220","162163.0","127,599"
"2026-06-01","B","R143","934,940","13","212","71918.0","139,048"
"2026-06-01","B","R160","7,000,883","21","1,662","333375.0","184,064"
"2026-06-01","B","R179","1,166,510","8","318","145814.0","146,405"
"2026-06-01","A","R188-CONVERSION","1,337,065","5","380","267413.0","315,223"
"2026-06-01","A","R188-NEW","510,939","0","126",,"368,536"
"2026-06-01","B","R211A","3,835,625","20","860","191781.0","282,770"
"2026-06-01","B","R211T","52,300","1","20","52300.0","221,218"
"2026-06-01","B","R46","1,292,332","20","332","64617.0","57,385"
"2026-06-01","A","R62","1,345,579","16","315","84099.0","100,481"
"2026-06-01","A","R62A","3,610,704","60","823","60178.0","77,410"
"2026-06-01","B","R68","2,202,522","19","421","115922.0","105,088"
"2026-06-01","B","R68A","897,798","9","200","99755.0","75,002"
"2026-05-01","A","R142","4,529,546","39","1,025","116142.0","128,901"
"2026-05-01","A","R142A","908,479","11","220","82589.0","123,334"
"2026-05-01","B","R143","952,603","6","212","158767.0","147,624"
"2026-05-01","B","R160","6,923,699","38","1,662","182203.0","178,133"
"2026-05-01","B","R179","1,217,478","11","318","110680.0","150,331"
"2026-05-01","A","R188-CONVERSION","1,233,965","3","380","411322.0","286,820"
"2026-05-01","A","R188-NEW","435,917","0","126",,"365,272"
"2026-05-01","B","R211A","3,551,394","14","810","253671.0","297,008"
"2026-05-01","B","R211T","41,145","0","20",,"322,290"
"2026-05-01","B","R46","1,450,482","22","372","65931.0","58,598"
"2026-05-01","A","R62","1,400,615","3","315","466872.0","102,758"
"2026-05-01","A","R62A","3,513,933","42","823","83665.0","79,562"
"2026-05-01","B","R68","2,212,732","19","425","116460.0","106,470"
"2026-05-01","B","R68A","911,360","9","200","101262.0","75,804"
"2026-04-01","A","R142","4,579,690","37","1,025","123775.0","131,456"
"2026-04-01","A","R142A","944,640","4","220","236160.0","132,219"
"2026-04-01","B","R143","1,047,255","9","212","116362.0","130,374"
"2026-04-01","B","R160","7,286,138","32","1,662","227692.0","182,505"
"2026-04-01","B","R179","1,027,452","12","318","85621.0","161,496"
"2026-04-01","A","R188-CONVERSION","1,411,590","2","380","705795.0","285,201"
"2026-04-01","A","R188-NEW","449,445","3","126","149815.0","346,412"
"2026-04-01","B","R211A","3,694,083","11","770","335826.0","301,933"
"2026-04-01","B","R211T","61,455","0","20",,"166,007"
"2026-04-01","B","R46","1,510,832","21","376","71944.0","59,112"
"2026-04-01","A","R62","1,430,625","13","315","110048.0","93,402"
"2026-04-01","A","R62A","3,641,930","46","823","79172.0","79,512"
"2026-04-01","B","R68","2,207,292","29","425","76114.0","106,680"
"2026-04-01","B","R68A","914,704","17","200","53806.0","75,296"
"2026-03-01","A","R142","4,797,189","30","1,025","159906.0","133,009"
"2026-03-01","A","R142A","917,009","9","220","101890.0","128,686"
"2026-03-01","B","R143","1,072,788","7","212","153255.0","140,242"
"2026-03-01","B","R160","7,419,058","35","1,662","211973.0","182,785"
"2026-03-01","B","R179","1,106,929","5","318","221386.0","163,548"
"2026-03-01","A","R188-CONVERSION","1,451,875","2","380","725938.0","276,102"
"2026-03-01","A","R188-NEW","472,054","2","126","236027.0","370,830"
"2026-03-01","B","R211A","3,701,062","12","750","308422.0","297,730"
"2026-03-01","B","R211T","25,320","0","20",,"142,256"
"2026-03-01","B","R46","1,596,760","25","420","63870.0","59,596"
"2026-03-01","A","R62","1,437,460","14","315","102676.0","96,396"
"2026-03-01","A","R62A","3,899,859","41","823","95119.0","79,214"
"2026-03-01","B","R68","2,254,752","21","425","107369.0","107,437"
"2026-03-01","B","R68A","881,908","14","200","62993.0","79,289"
"2026-02-01","A","R142","4,062,217","31","1,025","131039.0","134,481"
"2026-02-01","A","R142A","835,561","8","220","104445.0","132,133"
"2026-02-01","B","R143","854,844","8","212","106856.0","131,365"
"2026-02-01","B","R160","6,358,006","29","1,662","219242.0","182,765"
"2026-02-01","B","R179","994,993","5","318","198999.0","153,595"
"2026-02-01","A","R188-CONVERSION","1,187,570","2","380","593785.0","260,223"
"2026-02-01","A","R188-NEW","424,831","1","126","424831.0","426,719"
"2026-02-01","B","R211A","3,000,723","13","720","230825.0","297,356"
"2026-02-01","B","R211T","43,415","0","20",,"116,154"
"2026-02-01","B","R46","1,627,839","20","420","81392.0","58,018"
"2026-02-01","A","R62","1,218,904","9","315","135434.0","98,833"
"2026-02-01","A","R62A","3,473,328","53","823","65534.0","79,077"
"2026-02-01","B","R68","1,922,577","21","425","91551.0","110,873"
"2026-02-01","B","R68A","690,852","18","200","38381.0","78,130"
"2026-01-01","A","R142","4,734,417","49","1,025","96621.0","138,051"
"2026-01-01","A","R142A","1,004,800","8","220","125600.0","134,032"
"2026-01-01","B","R143","880,224","6","212","146704.0","132,251"
"2026-01-01","B","R160","7,181,059","47","1,662","152788.0","182,722"
"2026-01-01","B","R179","1,113,639","10","318","111364.0","147,993"
"2026-01-01","A","R188-CONVERSION","1,342,860","6","380","223810.0","255,972"
"2026-01-01","A","R188-NEW","442,290","0","126",,"366,591"
"2026-01-01","B","R211A","3,346,389","12","700","278866.0","299,973"
"2026-01-01","B","R211T","92,040","1","20","92040.0","104,735"
"2026-01-01","B","R46","1,724,962","36","432","47916.0","56,410"
"2026-01-01","A","R62","1,217,041","9","315","135227.0","100,097"
"2026-01-01","A","R62A","3,748,522","48","823","78094.0","78,406"
"2026-01-01","B","R68","2,169,344","22","425","98607.0","110,553"
"2026-01-01","B","R68A","889,764","13","200","68443.0","81,345"
"2025-12-01","A","R142","4,814,314","35","1,025","137552.0","144,807"
"2025-12-01","A","R142A","1,033,113","7","220","147588.0","137,901"
"2025-12-01","B","R143","1,065,363","3","212","355121.0","129,805"
"2025-12-01","B","R160","7,442,112","54","1,662","137817.0","185,234"
"2025-12-01","B","R179","1,118,555","8","318","139819.0","149,878"
"2025-12-01","A","R188-CONVERSION","1,355,723","10","380","135572.0","256,738"
"2025-12-01","A","R188-NEW","466,203","0","126",,"343,708"
"2025-12-01","B","R211A","3,405,194","5","670","681039.0","296,089"
"2025-12-01","B","R211T","96,055","0","20",,"113,076"
"2025-12-01","B","R46","1,946,979","43","444","45279.0","56,882"
"2025-12-01","A","R62","1,356,114","10","315","135611.0","96,063"
"2025-12-01","A","R62A","3,703,039","40","823","92576.0","78,920"
"2025-12-01","B","R68","2,226,000","22","425","101182.0","108,592"
"2025-12-01","B","R68A","829,262","16","200","51829.0","77,987"
"2025-11-01","A","R142","4,426,222","35","1,025","126463.0","144,883"
"2025-11-01","A","R142A","991,930","8","220","123991.0","135,408"
"2025-11-01","B","R143","923,806","5","212","184761.0","117,812"
"2025-11-01","B","R160","7,046,402","40","1,662","176160.0","193,704"
"2025-11-01","B","R179","1,045,940","9","318","116216.0","148,021"
"2025-11-01","A","R188-CONVERSION","1,151,715","4","380","287929.0","270,267"
"2025-11-01","A","R188-NEW","415,047","2","126","207524.0","304,721"
"2025-11-01","B","R211A","3,197,517","9","650","355280.0","279,919"
"2025-11-01","B","R211T","87,550","0","20",,"107,764"
"2025-11-01","B","R46","1,872,509","35","448","53500.0","57,545"
"2025-11-01","A","R62","1,254,786","12","315","104566.0","89,775"
"2025-11-01","A","R62A","3,468,870","39","823","88945.0","80,173"
"2025-11-01","B","R68","2,079,018","11","425","189002.0","108,203"
"2025-11-01","B","R68A","811,004","9","200","90112.0","84,381"
"2025-10-01","A","R142","4,779,550","31","1,025","154179.0","143,870"
"2025-10-01","A","R142A","1,049,710","3","220","349903.0","135,108"
"2025-10-01","B","R143","894,056","6","212","149009.0","115,666"
"2025-10-01","B","R160","7,609,125","35","1,662","217404.0","192,150"
"2025-10-01","B","R179","1,232,714","12","318","102726.0","159,223"
"2025-10-01","A","R188-CONVERSION","1,362,515","3","380","454172.0","264,303"
"2025-10-01","A","R188-NEW","436,078","2","126","218039.0","321,224"
"2025-10-01","B","R211A","3,292,336","19","620","173281.0","276,157"
"2025-10-01","B","R211T","95,770","0","20",,"83,535"
"2025-10-01","B","R46","1,927,090","30","466","64236.0","57,771"
"2025-10-01","A","R62","1,333,565","13","315","102582.0","89,342"
"2025-10-01","A","R62A","3,946,482","38","823","103855.0","80,174"
"2025-10-01","B","R68","2,191,571","24","425","91315.0","106,468"
"2025-10-01","B","R68A","1,061,440","17","200","62438.0","83,644"
"2025-09-01","A","R142","4,398,310","32","1,025","137447.0","147,218"
"2025-09-01","A","R142A","974,430","13","220","74956.0","132,992"
"2025-09-01","B","R143","1,014,924","9","212","112769.0","114,700"
"2025-09-01","B","R160","7,236,983","41","1,662","176512.0","193,518"
"2025-09-01","B","R179","1,220,408","3","318","406803.0","153,346"
"2025-09-01","A","R188-CONVERSION","1,394,955","6","380","232493.0","252,843"
"2025-09-01","A","R188-NEW","506,225","0","126",,"364,267"
"2025-09-01","B","R211A","3,055,265","10","600","305527.0","283,705"
"2025-09-01","B","R211T","106,305","0","20",,"77,259"
"2025-09-01","B","R46","1,856,947","40","474","46424.0","57,672"
"2025-09-01","A","R62","1,299,718","17","315","76454.0","86,717"
"2025-09-01","A","R62A","3,599,087","47","823","76576.0","77,614"
"2025-09-01","B","R68","2,118,762","16","425","132423.0","108,393"
"2025-09-01","B","R68A","967,024","6","200","161171.0","78,916"
"2025-08-01","A","R142","4,607,056","34","1,025","135502.0","147,252"
"2025-08-01","A","R142A","965,064","4","220","241266.0","139,499"
"2025-08-01","B","R143","1,062,504","6","212","177084.0","112,107"
"2025-08-01","B","R160","7,154,010","45","1,662","158978.0","191,933"
"2025-08-01","B","R179","1,341,979","7","318","191711.0","146,326"
"2025-08-01","A","R188-CONVERSION","1,428,175","5","380","285635.0","265,360"
"2025-08-01","A","R188-NEW","475,989","3","126","158663.0","359,400"
"2025-08-01","B","R211A","2,897,120","9","570","321902.0","287,533"
"2025-08-01","B","R211T","94,715","0","20",,"70,058"
"2025-08-01","B","R46","2,118,532","37","490","57258.0","56,646"
"2025-08-01","A","R62","1,389,575","11","315","126325.0","90,656"
"2025-08-01","A","R62A","3,776,878","58","823","65119.0","76,650"
"2025-08-01","B","R68","2,258,600","20","425","112930.0","108,768"
"2025-08-01","B","R68A","811,268","4","200","202817.0","72,946"
"2025-07-01","A","R142","4,597,229","37","1,025","124249.0","146,275"
"2025-07-01","A","R142A","1,141,382","11","220","103762.0","129,418"
"2025-07-01","B","R143","976,740","6","212","162790.0","110,597"
"2025-07-01","B","R160","7,116,417","49","1,662","145233.0","198,989"
"2025-07-01","B","R179","1,321,879","5","318","264376.0","150,837"
"2025-07-01","A","R188-CONVERSION","1,418,374","3","380","472791.0","269,407"
"2025-07-01","A","R188-NEW","493,017","2","126","246509.0","413,592"
"2025-07-01","B","R211A","2,893,794","7","550","413399.0","265,298"
"2025-07-01","B","R211T","88,800","2","20","44400.0","55,652"
"2025-07-01","B","R46","2,364,627","42","520","56301.0","54,711"
"2025-07-01","A","R62","1,392,925","33","315","42210.0","88,098"
"2025-07-01","A","R62A","3,818,493","59","823","64720.0","76,003"
"2025-07-01","B","R68","2,113,580","23","425","91895.0","108,566"
"2025-07-01","B","R68A","833,840","8","200","104230.0","69,950"
"2025-06-01","A","R142","4,586,038","36","1,025","127390.0","147,251"
"2025-06-01","A","R142A","1,073,975","10","220","107398.0","134,065"
"2025-06-01","B","R143","917,223","8","212","114653.0","112,201"
"2025-06-01","B","R160","7,087,229","37","1,662","191547.0","210,662"
"2025-06-01","B","R179","1,238,792","6","318","206465.0","149,293"
"2025-06-01","A","R188-CONVERSION","1,322,590","10","380","132259.0","253,626"
"2025-06-01","A","R188-NEW","461,979","0","126",,"447,188"
"2025-06-01","B","R211A","2,576,165","9","510","286241.0","250,478"
"2025-06-01","B","R211T","134,300","0","20",,"46,236"
"2025-06-01","B","R46","2,386,879","31","532","76996.0","50,910"
"2025-06-01","A","R62","1,298,990","12","315","108249.0","101,653"
